id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
20,A012 - MUESTREO DE SUELO,true,A012,MUESTREO DE SUELO,1.87,,0,0,0,
21,A014 - CONTROL DE PLAGAS,true,A014,CONTROL DE PLAGAS,1.87,,0,0,0,
22,A015 - CORTE DE SEMILLA,true,A015,CORTE DE SEMILLA,1.87,,0,0,0,
23,A016 - TRANSPORTE DE SEMILLA,true,A016,TRANSPORTE DE SEMILLA,1.87,,0,0,0,
24,A018 - RONDAS,true,A018,RONDAS,1.87,,0,0,0,
25,A02 - ACARREO DE AGUA PARA FUMIGAR,true,A02,ACARREO DE AGUA PARA FUMIGAR,1.87,,0,0,0,
26,A020 - DRENAJE,true,A020,DRENAJE,1.87,,0,0,0,
27,A021 - ENMIENDA DE SUELOS,true,A021,ENMIENDA DE SUELOS,1.87,,0,0,0,
28,A022 - FERTILIZACION 1,true,A022,FERTILIZACION 1,1.87,,0,0,0,
29,A023 - FERTILIZACION 2,true,A023,FERTILIZACION 2,1.87,,0,0,0,
30,A024 - FERTILIZACION 3,true,A024,FERTILIZACION 3,1.87,,0,0,0,
31,A026 - HILANDO COGOLLOS,true,A026,HILANDO COGOLLOS,1.87,,0,0,0,
32,A028 - REQUEMA,true,A028,REQUEMA,1.87,,0,0,0,
33,A03 - MUESTREO DE CAÑA,true,A03,MUESTREO DE CAÑA,1.87,,0,0,0,
34,A030 - RIEGO,true,A030,RIEGO,1.87,,0,0,0,
35,A032 - MUESTREO DE PLAGAS,true,A032,MUESTREO DE PLAGAS,1.87,,0,0,0,
36,A033 - MUESTREO FOLIAR,true,A033,MUESTREO FOLIAR,1.87,,0,0,0,
37,A034 - OPERACION DE MOTOBOMBAS,true,A034,OPERACION DE MOTOBOMBAS,1.87,,0,0,0,
38,A035 - APLICACION DE CACHAZA,true,A035,APLICACION DE CACHAZA,1.87,,0,0,0,
39,A036 - PINERO,true,A036,PINERO,1.87,,0,0,0,
40,A037 - RECOJO Y REPICA DE CAÑA,true,A037,RECOJO Y REPICA DE CAÑA,1.87,,0,0,0,
41,A038 - RECOJO DE PIEDRAS,true,A038,RECOJO DE PIEDRAS,1.87,,0,0,0,
42,A039 - REFORESTACION,true,A039,REFORESTACION,1.87,,0,0,0,
43,A04 - TRATAMIENTO DE SEMILLA,true,A04,TRATAMIENTO DE SEMILLA,1.87,,0,0,0,
44,A040 - REPARTO DE AGUA A TRABAJADORES,true,A040,REPARTO DE AGUA A TRABAJADORES,1.87,,0,0,0,
45,A041 - RESIEMBRA,true,A041,RESIEMBRA,1.87,,0,0,0,
46,A043 - RIEGO DE ASPERSION,true,A043,RIEGO DE ASPERSION,1.87,,0,0,0,
47,A044 - RIEGO DE GRAVEDAD,true,A044,RIEGO DE GRAVEDAD,1.87,,0,0,0,
48,A046 - SERENO DE EQUIPO,true,A046,SERENO DE EQUIPO,1.87,,0,0,0,
49,A047 - SIEMBRA DE CAÑA,true,A047,SIEMBRA DE CAÑA,1.87,,0,0,0,
50,A048 - TOMADOR DE TIEMPO,true,A048,TOMADOR DE TIEMPO,1.87,,0,0,0,
51,A049 - TRANSPORTE DE TUBERIAS,true,A049,TRANSPORTE DE TUBERIAS,1.87,,0,0,0,
52,A050 - VIGILANCIA DE FINCAS,true,A050,VIGILANCIA DE FINCAS,1.87,,0,0,0,
53,A051 - LIBERACION DE COTESIAS,true,A051,LIBERACION DE COTESIAS,1.87,,0,0,0,
54,A064 - DESPACHADORES,true,A064,DESPACHADORES,1.87,,0,0,0,
55,A069 - OTRAS LABORES,true,A069,OTRAS LABORES,1.87,,0,0,0,
56,A070 - SEGUNDA LABOR,true,A070,SEGUNDA LABOR,1.87,,0,0,0,
57,A08 - TRANSPORTE DE CACHAZA,true,A08,TRANSPORTE DE CACHAZA,1.87,,0,0,0,
58,A09 - BOTANDO DESECHO,true,A09,BOTANDO DESECHO,1.87,,0,0,0,
59,A10 - TRANSPORTE DE MELAZA,true,A10,TRANSPORTE DE MELAZA,1.87,,0,0,0,
